bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1,FN1,GAPDH
BRCA1,BRCA,2.8705,1.361357143,2.983333333,3.08425,1.652125,1.733375,-1.629166667
BRCA2,BRCA,2.16625,0.4283571429,2.550833333,2.386,3.08025,0.217625,-0.9511666667
BRCA3,BRCA,1.3235,1.305642857,3.020416667,0.79125,2.98525,2.508083333,-1.298833333
BRCA4,BRCA,1.841625,0.8096428571,3.131333333,2.495416667,-1.9185,-0.2197083333,-0.8206666667
BRCA5,BRCA,-6.02525,0.2508571429,-1.45175,-4.860666667,-1.1715,-0.477375,1.294583333
BRCA6,BRCA,1.8045,1.310785714,4.041083333,2.797,3.52975,1.245458333,-0.05216666667
BRCA7,BRCA,-4.87925,-0.2369285714,-0.72475,-4.486083333,-1.45575,-1.969958333,-0.777
BRCA8,BRCA,-3.14325,-1.243214286,-1.193083333,-1.627416667,-0.98675,-0.4585416667,1.0845
BRCA9,BRCA,2.034,1.207428571,2.278833333,4.115583333,0.668,0.7657083333,-2.010083333
BRCA10,BRCA,-0.293125,0.2883571429,-1.605083333,0.4731666667,0.0115,-0.260125,-0.2429166667
BRCA11,BRCA,-0.802625,-0.1657857143,0.3294166667,-1.801583333,1.0395,0.687875,-1.213333333
BRCA12,BRCA,2.646375,0.5853571429,3.056333333,3.84525,1.894875,1.231083333,-1.371583333
BRCA13,BRCA,-2.315375,-0.001714285714,-1.180833333,-3.244666667,-0.6775,-1.088416667,-0.4111666667
BRCA14,BRCA,-3.758125,0.4585714286,-2.43825,-4.214333333,-1.367375,-0.1063333333,-0.7525
BRCA15,BRCA,3.93,0.7145,2.085916667,4.071666667,1.26175,1.192958333,-1.46975
BRCA16,BRCA,-1.28125,0.367,1.718583333,-1.462583333,1.999625,0.8254166667,-0.5915833333
BRCA17,BRCA,1.619375,0.924,2.006416667,0.9173333333,4.118375,-0.6568333333,-1.31975
BRCA18,BRCA,1.87025,-0.03492857143,1.181166667,3.012666667,1.899625,-0.6879583333,-1.091833333
BRCA19,BRCA,1.470375,0.146,1.509833333,0.43225,-0.475375,0.2679583333,-0.8205
BRCA20,BRCA,-2.95925,1.356285714,-1.144916667,-1.442833333,1.45475,0.038,-0.8579166667
BRCA21,BRCA,2.34725,0.9346428571,0.9606666667,2.854166667,1.58325,1.030708333,-1.353083333
BRCA22,BRCA,2.456625,0.643,2.446583333,4.358333333,2.863875,-0.90575,-1.547916667
BRCA23,BRCA,3.369428571,-0.145,2.453,4.52125,3.0375,0.8160833333,-1.494
BRCA24,BRCA,2.977875,0.2699285714,3.189416667,3.986916667,-0.1495,-0.6636666667,-1.456833333
BRCA25,BRCA,2.26375,0.4732857143,2.784416667,5.1325,1.2825,-0.4577916667,-1.257916667
BRCA26,BRCA,1.992,0.9773571429,1.438166667,3.639083333,3.01225,-0.45125,-2.125083333
BRCA27,BRCA,1.543125,0.4572142857,1.61925,4.526166667,-0.24525,-1.010791667,-0.9785833333
